<1>//邂逅　〜バーサス羽田鷹志〜
<24>#鷹志\TAK1025$&　但是，在我心里，却完全没有那样的迷恋或是爱意。$
 
<25>//#鷹志\TAK1026$&　すごいよね。呆れるぐらいにないんだ。あとを濁す心配いらずの、意味がない空っぽな１８年間。$
<25>#鷹志\TAK1026$&　很厉害吧。你应该也吓了一跳吧。我在这边度过的１８年，就是如此的无关痛痒而又丑陋，且毫无意义的空虚。$
 
<26>//#鷹志\TAK1027$&　あるとき僕は携帯電話のメモ帳を開いた。$
<26>#鷹志\TAK1027$&　曾经有一次，我打开了手机的记事本。$
 
<27>//#鷹志\TAK1028$&　むかし観た映画に、癌の宣告をされたヒロインが命尽きるまでに果たしたい事柄を紙面へ書きだしてゆくってシーンがあったから、それに倣ってみようと思ったんだ。$
<27>#鷹志\TAK1028$&　在我过去看过的一部电影里，曾经有过这样一段剧情——得知自己身患癌症的女主角将自己在剩余的人生中想要做的事情记录了下来。当时的我，就是想要去效仿她的举动。$
 
<28>//#鷹志\TAK1029$&　だけど一行目に“残務処理”という見出しを打ってからは、なかなか手が進まなかった。この世界から消える前にやっておきたいこと、っていうのがすぐに思いうかばなかった。$
<28>#鷹志\TAK1029$&　但是，在写完第一行的“残务处理”之后，我就没法再继续写下去了。那是因为，我甚至无法立刻想出，自己在从这个世界中消失之前，还有什么想要去做的事情。$
 
<29>//#鷹志\TAK1030$&　法や倫理を超えた夢見事ならいくらでも思いつくんだけど（銀行強盗とか学園爆破とか性にまつわるエトセトラとか）、あとに残される家族のことを思うと犯罪行為・非人道的行為は慎みたい。$
<29>#鷹志\TAK1030$&　虽然我能想到很多像是那种违背了法律和伦理的白日梦一样的行为（类似去银行抢劫，爆破学校，或是和满足自己性欲相关需求的乱七八糟事情）。但是，考虑到仍然活着的那些家人，我就实在是做不出那种犯罪或是非人道的事情。$
 
<30>//#鷹志\TAK1031$&　かと言って現実的な範囲で考えれば、経済的な理由や能力的な問題でおのずと行動は制限される。$
<30>#鷹志\TAK1031$&　但是，如果只是在现实中的范围来思考的话，又会因为经济方面的原因和能力方面的问题而处处受制。$
 
<31>//#鷹志\TAK1032$&　僕はしばらく悩んだ末、のろのろと“上杉家で『信長の野心』をクリアする”と打った。あれはとても面白いゲームだけど、時間がかかるからそれなりに気合を入れないと最後までやり通せないんだ。$
<31>#鷹志\TAK1032$&　结果，在一阵苦思以后，我才在上面慢吞吞地写下了“在上杉家通关『信长的野心』”。那款游戏虽然十分有趣，但是因为很花时间，所以我一直都没能下定决心去把它一口气打通关。$
 
<32>//#鷹志\TAK1033$&　そして次に“学食のチキンソテー＆エビフライ定食を食べる”と入れた。すぐ売りきれてしまう、学園一の人気メニュー。どうせなら一度くらい味わっておきたい。$
<32>#鷹志\TAK1033$&　而下一条则是“吃一次学校食堂的嫩煎鸡肉＆炸虾套餐”。那是学校里最受欢迎的菜单，总是刚出锅就被一抢而空。所以如果有这种机会，我真的很想至少去尝一次看看。$
 
<33>//#鷹志\TAK1034$&　さて志の低い文字列がふたつ続いたので、もうちょっとアカデミックな目標でも立てようと思って三つめに打ちこんだのが“期末テストで平均７０点以上とる”だ。$
<33>#鷹志\TAK1034$&　由于前两条的志向都实在是有点短浅，所以我很想稍微定一个像样点的目标。但是，在短暂的思考以后，我写下的第三条却是“在期末考试中得到７０分以上的平均分。$
 
<34>//#鷹志\TAK1035$&　五段階評価でいうところのＡやＢではなく、さりとてＣでもＤでもない、いうなればＢとＣの中間あたりにハードルを設ける小ざかしさが我ながら僕らしい。$
<34>#鷹志\TAK1035$&　在五段制的打分中，既不是Ａ或Ｂ，也不是Ｃ或Ｄ，而是将目标特意定在了Ｂ和Ｃ中间的区域。这种小家子气的做法，只能说确实是很有我的风格。$
 
<35>//#鷹志\TAK1036$&　でも、そのあと四つめ以降の項目が続かず、そのうちに眠くなってきて僕はケータイを閉じた。$
<35>#鷹志\TAK1036$&　不过在那之后，我就再也没能继续写下第四条，而是因为在不知不觉中变困了而关掉了手机。$
 
<36>//#鷹志\TAK1037$&　つまりは僕の人生なんてその程度。趣味も生き甲斐も何もない。目標を果たすどころか、目標を立てることすらままならない。$
<36>#鷹志\TAK1037$&　说白了，我的人生也就是这样的程度。既没有兴趣也没有任何生存的价值。别说去实现目标了，就连定下目标这种事情都无法顺心如意地做到。$
 
<37>//#鷹志\TAK1038$&　いいんだけどね。$
<37>#鷹志\TAK1038$&　不过，其实我也不是很在乎就是了。$
 
<38>//#鷹志\TAK1039$&　だって、もともと虚しい思いをしないで済むようにって、そのために僕は、いつだって努めて世界の隅っこを歩いてきたんだから。$
<38>#鷹志\TAK1039$&　因为，我就是带着不去思考那种空虚的事情的想法，在世间的某个角落这样一步步努力走来的。$
 
<39>//#鷹志$&　…………。$
<39>#鷹志$&　…………。$
 
<40>//#鷹志\TAK1040$&　うん、まあ……。$
<40>#鷹志\TAK1040$&　嗯，不过……$
 
<41>//#鷹志\TAK1041$&　まったくないかって言われると、そうだな、ちょっとぐらいは……あるかもしれないけど。未練。$
<41>#鷹志\TAK1041$&　如果硬要说的话……倒也不是……一点迷恋都没有吧。$
 
<42>//#鷹志\TAK1042$&　胸に残しておきたい想い出。$
<42>#鷹志\TAK1042$&　毕竟，在我心中，还残存着些许想要保留下来的回忆。$
 
<43>//#鷹志\TAK1043$&　優しかったおじいさん。$
<43>#鷹志\TAK1043$&　温柔的叔叔。$
 
<44>//#鷹志\TAK1044$&　可愛がってくれた叔父さん、叔母さん。$
<44>#鷹志\TAK1044$&　一直在疼爱着我的叔父叔母。$
 
<45>//#鷹志\TAK1045$&　あまり仲良くはなかったかもしれないけど、大切な妹だった小鳩。$
<45>#鷹志\TAK1045$&　虽然关系可能不算很好，但在我心里却仍然十分重要的妹妹小鸠。$
 
<46>//#鷹志\TAK1046$&　たったひとりの友達だった森里君。$
<46>#鷹志\TAK1046$&　身为我在这个世上唯一一个朋友的森里君。$
 
<47>//#鷹志\TAK1047$&　それと、もうひとつの誰にも明かしてない秘密。$
<47>#鷹志\TAK1047$&　还有，那个我不曾透露给任何人的秘密。$
 
<48>//#鷹志\TAK1048$&　僕の初恋のひと。$
<48>#鷹志\TAK1048$&　也就是，我那个初恋的对象。$
 
<49>//#鷹志\TAK1049$&　なんて、あはは、もうすぐそれも終わりだけどね。$
<49>#鷹志\TAK1049$&　不过，像那种东西，再过不久也都会结束了就是了，啊哈哈。$
 
<50>//#鷹志\TAK1050$&　そうして僕は気持ちひとつ抱えず、近所の公園でも行くみたいにふらりと消えてしまおう。$
<50>#鷹志\TAK1050$&　到了那时候，我就可以了无牵挂地，像是去附近的公园一样而渺然消失了吧。$
 
<51>//#鷹志\TAK1051$&　不器用な心に厳しかったこの世界から。$
<51>#鷹志\TAK1051$&　从这个对于笨拙的心灵无比严苛的世界上。$
 
<52>//#鷹志\TAK1052$&　だけど、まだその時は来ない。$
<52>#鷹志\TAK1052$&　不过，现在还没到那个时候。$
 
<53>//#鷹志\TAK1053$&　あともう少しだけ、僕の空っぽな物語は続くんだ。$
<53>#鷹志\TAK1053$&　我的这个空虚的物语，还会再持续一小段时间。$
 
<54>//（ちなみに“残務処理”のひとつめは先日めでたく完遂した）$
<54>（顺带一提，“残务处理”中的第一条，就在前几天已经可喜可贺地被我达成了）$
 
